game,opp_score,wolves,date,time
mch,3,1,9/22/2020,15:15
wha,4,0,9/27/2020,14:00
fuh,0,1,10/3/2020,10:00
lua,0,1,10/19/2020,15:00
neh,1,1,10/25/2020,12:30
cph,0,2,10/30/2020,16:00
lca,1,0,11/8/2020,9:00
soh,1,1,11/21/2020,10:00
ara,1,2,11/29/2020,14:15
lia,4,0,12/6/2020,14:15
avh,1,0,12/12/2020,7:15
chh,1,2,12/15/2020,13:00
bua,2,1,12/21/2020,12:30
toh,1,1,12/27/2020,14:15
mua,1,0,12/29/2020,15:00
bra,3,3,1/2/2021,12:30
evh,2,1,1/12/2021,15:15
shith,3,2,1/16/2021,7:30
cha,0,0,1/27/2021,13:00
cpa,1,0,1/30/2021,10:00
arh,1,2,2/2/2021,13:00
leh,0,0,2/7/2021,9:00
soa,1,2,2/14/2021,7:00
luh,0,1,2/19/2021,15:00
nea,1,1,2/27/2021,15:00
mca,4,1,3/2/2021,15:00
ava,0,0,3/6/2021,12:30
lih,1,0,3/15/2021,16:00
whh,3,2,4/5/2021,15:15
fua,0,1,4/9/2021,15:00
suh,0,1,4/17/2021,10:00
buh,4,0,4/25/2021,7:00
shita,1,1,5/3/2021,15:00
brh,1,2,5/9/2021,7:00
toa,2,0,5/16/2021,9:05
eva,1,0,5/19/2021,13:00
muh,2,1,5/23/2021,11:00
